"wage","female","age","educ","exper"
4.405555725,1,35,12,16
8.333333015,0,35,8,20
26.00520897,0,36,12,17
2.162499905,0,54,5,42
4.761904716,0,19,7,5
14.88333321,0,26,8,11
2.441666603,0,24,10,7
2.441666603,1,29,8,14
7.699999809,0,27,10,10
9.072368622,0,26,10,9
20.39583397,1,26,12,7
7.699999809,1,47,6,34
14.88333321,1,24,10,7
7.699999809,0,23,7,9
9.786458015,0,29,6,16
7.033333302,1,28,5,16
4.366666794,0,26,12,7
3.25555563,1,22,10,5
7.699999809,0,43,7,29
7.699999809,0,25,8,10
7.699999809,0,20,10,3
4.033333302,1,20,8,5
10.83125019,0,29,9,13
5.75,1,29,10,12
7.405555725,0,32,10,15
5.555555344,1,34,8,19
3.055555582,0,39,6,26
5.083333492,1,36,5,24
6.666666508,0,18,8,3
1.453125,0,32,12,13
1.033333302,1,29,9,13
9.556249619,0,25,10,8
6.162499905,1,22,10,5
0.699999988,1,43,5,31
7.993750095,0,36,6,23
6.162499905,1,40,2,31
11.74374962,0,28,9,12
7.412499905,1,30,8,15
6.162499905,0,53,8,38
6.206250191,0,40,8,25
2.412499905,1,35,6,22
16.74374962,0,42,9,26
8.662500381,0,59,8,44
0.493750006,0,40,8,25
12.45625019,0,39,13,19
5.493750095,1,37,12,18
9.883333206,1,29,9,13
14.25446415,0,36,10,19
6.076219559,1,45,10,28
6.916666508,1,40,10,23
7.613095284,1,36,10,19
3.03125,0,24,10,7
7.495535851,1,24,10,7
8.388392448,1,23,10,6
4.912499905,1,40,8,25
2.405555487,0,26,2,17
2.599999905,0,38,9,22
8.125,0,40,1,32
4.087500095,0,50,5,38
5.625,0,29,4,18
4.347826004,0,23,4,12
8.662500381,0,48,0,41
4.444444656,0,25,4,14
6.018518448,0,37,5,25
2.648936272,0,46,4,35
1.222222209,1,37,1,29
2.305555582,0,49,4,38
1.703703761,0,40,0,33
1.205555558,1,35,1,27
1.703703761,0,37,0,30
1.703703761,0,55,0,48
1.703703761,0,50,4,39
1.703703761,0,21,2,12
1.703703761,0,25,0,18
1.466666698,1,24,3,14
2.305555582,0,44,0,37
1.222222209,1,37,1,29
1.222222209,1,17,1,9
1.703703761,0,51,1,43
14.88333321,0,37,10,20
7.699999809,1,34,9,18
5.477777958,1,34,7,20
5.477777958,1,26,8,11
7.416666508,0,29,7,15
4.125,0,46,4,35
1.711111069,0,16,3,6
7.416666508,0,35,4,24
5.652173996,0,22,3,12
3.229166746,0,32,4,21
3.444444418,0,60,6,47
3.444444418,0,59,2,50
8.34375,0,29,4,18
3.125,0,38,3,28
1.711111069,0,39,3,29
7.699999809,0,35,3,25
6.666666508,0,33,3,23
1.916666627,0,22,4,11
3.229166746,0,27,2,18
4.947916508,0,18,4,7
6.738888741,0,25,3,15
7.699999809,0,41,10,24
4.033333302,1,41,6,28
14.88333321,0,44,8,29
2.144444466,0,38,8,23
8.34375,0,49,4,38
8.34375,0,34,6,21
4.537499905,0,40,4,29
8.34375,0,27,2,18
5.546875,0,34,3,24
3.78125,0,31,4,20
7.416666508,0,18,5,6
3.229166746,0,27,3,17
3.25555563,1,31,12,12
4.366666794,1,29,10,12
7.416666508,0,28,5,16
7.416666508,0,34,4,23
