"id","year","animal","place","state","numAttacks","Duration","Affected"
319,2017,"Squirrel","Louisville","OH",1,0,3682
320,2017,"Squirrel","Greenfield","MA",1,270,400
321,2017,"Squirrel","Beatrice","NE",1,15,0
322,2017,"Squirrel","Sidney","NY",1,0,364
323,2017,"Squirrel","Stamford","CT",1,358,9533
324,2017,"Unknown","West Roxbury","MA",1,0,0
325,2017,"Animal","Lovell","WY",1,0,2000
326,2017,"Squirrel","Beloit","WI",1,0,0
327,2017,"Squirrel","Auburn","CA",1,0,3650
328,2017,"Bird","Peshastin","WA",1,0,0
329,2017,"Animal","Hobart","TM",1,0,1390
330,2017,"Squirrel","Grand Island","NE",1,0,800
331,2017,"unknown","Oxford","MA",1,0,500
332,2017,"Animal","Omaha","NE",1,0,0
333,2017,"Bird","Bowling Green","KY",1,0,0
334,2017,"Squirrel","Danbury","CT",1,0,0
335,2017,"Bird","Aitrach",NA,1,0,0
336,2017,"Squirrel","Grand Island","NE",1,20,0
337,2017,"Squirrel","Roanoke","VA",1,0,1800
338,2017,"Squirrel","Janesville","WI",1,0,1600
339,2017,"Squirrel","Nashville","TN",1,0,0
340,2017,"Bird","Beresford","NB",1,0,2120
341,2017,"Squirrel","Eugene","OR",1,72,0
342,2017,"Bird","Springfield","OH",1,0,0
343,2017,"unknown","Huntsville","AL",1,0,0
344,2017,"Animal","Winfield","KS",1,0,0
345,2017,"Squirrel","Lunenburg","MA",1,0,0
346,2017,"Bird","Arumbakkam","Chennai",1,0,0
347,2017,"Squirrel","Memphis","TN",1,0,0
348,2017,"Marten","Leuna",NA,1,45,0
349,2017,"Bird","Grand Rapids","MI",1,180,2717
350,2017,"Marten","Giebelstadt",NA,1,0,0
351,2017,"Bird","Bütschwil-Ganterschwil",NA,1,0,0
352,2017,"Bird","Hampton","VA",1,0,0
353,2017,"Squirrel","Buncombe","NC",1,0,0
354,2017,"unknwon","Niagra","ON",1,0,108
355,2017,"Bird","Squamish","BC",1,0,0
356,2017,"Bird","Wrangell","AK",1,0,0
357,2017,"Animal","Townsville","QL",1,0,2000
358,2017,"Bird","Canning","NS",1,0,0
359,2017,"Squirrel","Salina","KS",1,0,0
360,2017,"Squirrel","Pequea Township","MO",1,0,0
361,2017,"Bird","Harrisburg","OR",1,0,5000
362,2017,"Squirrel","Canton","OH",1,90,4200
363,2017,"Unknown","Westmoreland","NY",1,120,0
364,2017,"Squirrel","Miami","OK",1,0,0
365,2017,"Squirrel","Forsyth","MO",1,0,0
366,2017,"Squirrel","Idaho Falls","ID",1,0,30
367,2017,"unknown","Rome","NY",1,0,4000
368,2017,"Squirrel","Hanover","PA",1,0,1960
369,2017,"Squirrel","Mayfield","KY",1,0,0
370,2017,"Squirrel","Rose Hill","VA",1,0,0
371,2017,"Bird","Canfield","OH",1,0,0
372,2017,"Squirrel","Meriden","CT",1,0,1532
373,2017,"Elephant","Dukwi",NA,1,0,0
374,2017,"Squirrel","Witchita","KS",1,0,2200
375,2017,"Bird","Ellensburg","WA",1,0,0
376,2017,"Raccoon","Burghammer",NA,1,0,0
377,2017,"Squirrel","Midwest City","OK",1,0,1002
378,2017,"Squirrel","Fairview","TN",1,0,2000
379,2017,"Bird","Horizon City","TX",1,59,3867
380,2017,"Squirrel","Villemoustaussou","Aude",1,0,50
381,2017,"Squirrel","Santa Claus","IN",1,0,338
382,2017,"Squirrel","Evansville","IN",1,0,111
383,2017,"Bird","Carmi","IL",1,0,0
384,2017,"Bird","Bern",NA,1,0,0
385,2017,"Raccoon","Kirksville","MO",1,240,656
386,2017,"Slug","Pfronten-Weißbach",NA,1,0,0
387,2017,"Squirrel","North Canton","OH",1,143,4300
